Site Name(Office),Raised Time,Alarm Code,Cleared Time,Duration(hh:mm:ss),Severity,NE,Alarm Type,Root Alarm Indicator,Location,NE Type,Specific Problem,Remark,ADMC Alarm,Repeated Count,Alarm Object Type,Alarm Object DN,Board Type,Alarm Object ID,Site ID(Office),Alarm Object Name,ACK State,System Type,Probable Cause,Product,Alarm AID,Additional NE,Additional Location,Changed Time,Additional Information,(Un)ACK User ID,(Un)ACK System ID,(Un)ACK Time,(Un)ACK Information,Clear User ID,Clear System ID,Clear Type,Clear Info,Comment,Comment User ID,Comment System ID,Comment Time,Alarm ID,NE IP,Link,NE Group,NE Agent,Related Service(s),Create Type,Threshold Information,Maintenance State,Raised Logging Time,Cleared Logging Time
Baobab-MN6023-U,12/14/2020 15:19,Link between OMM and NE broken(198099803),12/14/2020 15:21,0:01:46,Critical,Baobab-MN6023-U(1271),Communications Alarm,,,ME(MO SDR),,"U RNCId: 4; IP: 10.30.0.242, OMC channel is abnormal; U nodeBId:1271",No,,SDR,"SubNetwork=4,MEID=1271",,1271,1271,Baobab-MN6023-U,Unacknowledged,Wireless Public Alarm(20402),Connection establishment error(566),UMTS,0,,,,Site ID(Office) : 1271; Site Name(Office) : Baobab-MN6023-U; Alarm Object Type : SDR; Alarm Object ID : 1271; Alarm Object Name : Baobab-MN6023-U; Board Type : ; ,,,,,,,Normal,,,,,,1.5859E+12,10.30.0.242,,"SDRMGR_V4 OMMB,Harare V4 OMMB(4)",SDRMGR_V4 OMMB,,,,,12/14/2020 15:14,12/14/2020 15:16
Vfallsairport-MN0102-U,12/14/2020 15:17,NodeB is out of service(199083023),12/14/2020 15:21,0:03:45,Critical,Harare V4 RNC(4),Processing Error Alarm,,"Global(V4)=1,Rack(V4)=1,Shelf(V4)=3,Board(V4)=10,CPU(V4)=1",Controller ManagedElement(V4)/H(e)NB GW,NCP link failure,"Alarm Object:NODEB;  NodeB ID:1273;  Alarm sub code:2;  Iub Transport bearer type:IP V4 Bearer Type;  Link Number:1;  Link ID list:1273; Logic Position:System No.:0,Module No.:10,Index:0;",No,,NODEB,"SubNetwork=4,MEID=4,URncFunction=4,UIubLink=1273",CDR,1273,1273,Vfallsairport-MN0102-U,Unacknowledged,UMTS Controller Alarm(V4)(20426),Equipment Malfunction(315),UMTS,5864114,Vfallsairport-MN0102-U(1273),,,Site ID(Office) : 1273; Site Name(Office) : Vfallsairport-MN0102-U; Alarm Object Type : NODEB; Alarm Object ID : 1273; Alarm Object Name : Vfallsairport-MN0102-U; Board Type : CDR; ,,,,,,,Normal,,,,,,1.5859E+12,129.0.1.1,,"Harare V4 RNC,TELCEL HAR V4 RNC(4)",Harare V4 RNC,,,,,12/14/2020 15:12,12/14/2020 15:15
Mkosana-MN5227-U,12/14/2020 15:17,NodeB is out of service(199083023),12/14/2020 15:21,0:03:48,Critical,Harare V4 RNC(4),Processing Error Alarm,,"Global(V4)=1,Rack(V4)=1,Shelf(V4)=1,Board(V4)=13,CPU(V4)=1",Controller ManagedElement(V4)/H(e)NB GW,NCP link failure,"Alarm Object:NODEB;  NodeB ID:1299;  Alarm sub code:2;  Iub Transport bearer type:IP V4 Bearer Type;  Link Number:1;  Link ID list:1299; Logic Position:System No.:0,Module No.:7,Index:0;",No,,NODEB,"SubNetwork=4,MEID=4,URncFunction=4,UIubLink=1299",CDR,1299,1299,Mkosana-MN5227-U,Unacknowledged,UMTS Controller Alarm(V4)(20426),Equipment Malfunction(315),UMTS,5864109,Mkosana-MN5227-U(1299),,,Site ID(Office) : 1299; Site Name(Office) : Mkosana-MN5227-U; Alarm Object Type : NODEB; Alarm Object ID : 1299; Alarm Object Name : Mkosana-MN5227-U; Board Type : CDR; ,,,,,,,Normal,,,,,,1.5859E+12,129.0.1.1,,"Harare V4 RNC,TELCEL HAR V4 RNC(4)",Harare V4 RNC,,,,,12/14/2020 15:12,12/14/2020 15:15
VfallsPolice-MN0103-U,12/14/2020 15:17,NodeB is out of service(199083023),12/14/2020 15:21,0:03:47,Critical,Harare V4 RNC(4),Processing Error Alarm,,"Global(V4)=1,Rack(V4)=1,Shelf(V4)=1,Board(V4)=2,CPU(V4)=1",Controller ManagedElement(V4)/H(e)NB GW,NCP link failure,"Alarm Object:NODEB;  NodeB ID:1257;  Alarm sub code:2;  Iub Transport bearer type:IP V4 Bearer Type;  Link Number:1;  Link ID list:1257; Logic Position:System No.:0,Module No.:9,Index:0;",No,,NODEB,"SubNetwork=4,MEID=4,URncFunction=4,UIubLink=1257",CDR,1257,1257,VfallsPolice-MN0103-U,Unacknowledged,UMTS Controller Alarm(V4)(20426),Equipment Malfunction(315),UMTS,5864111,VfallsPolice-MN0103-U(1257),,,Site ID(Office) : 1257; Site Name(Office) : VfallsPolice-MN0103-U; Alarm Object Type : NODEB; Alarm Object ID : 1257; Alarm Object Name : VfallsPolice-MN0103-U; Board Type : CDR; ,,,,,,,Normal,,,,,,1.5859E+12,129.0.1.1,,"Harare V4 RNC,TELCEL HAR V4 RNC(4)",Harare V4 RNC,,,,,12/14/2020 15:12,12/14/2020 15:15
Baobab-MN6023-U,12/14/2020 15:17,NodeB is out of service(199083023),12/14/2020 15:21,0:03:48,Critical,Harare V4 RNC(4),Processing Error Alarm,,"Global(V4)=1,Rack(V4)=1,Shelf(V4)=1,Board(V4)=8,CPU(V4)=1",Controller ManagedElement(V4)/H(e)NB GW,NCP link failure,"Alarm Object:NODEB;  NodeB ID:1271;  Alarm sub code:2;  Iub Transport bearer type:IP V4 Bearer Type;  Link Number:1;  Link ID list:1271; Logic Position:System No.:0,Module No.:8,Index:0;",No,,NODEB,"SubNetwork=4,MEID=4,URncFunction=4,UIubLink=1271",CDR,1271,1271,Baobab-MN6023-U,Unacknowledged,UMTS Controller Alarm(V4)(20426),Equipment Malfunction(315),UMTS,5864110,Baobab-MN6023-U(1271),,,Site ID(Office) : 1271; Site Name(Office) : Baobab-MN6023-U; Alarm Object Type : NODEB; Alarm Object ID : 1271; Alarm Object Name : Baobab-MN6023-U; Board Type : CDR; ,,,,,,,Normal,,,,,,1.5859E+12,129.0.1.1,,"Harare V4 RNC,TELCEL HAR V4 RNC(4)",Harare V4 RNC,,,,,12/14/2020 15:12,12/14/2020 15:15
VfallSprayview-MN0101-U,12/14/2020 15:17,NodeB is out of service(199083023),12/14/2020 15:21,0:03:37,Critical,Harare V4 RNC(4),Processing Error Alarm,,"Global(V4)=1,Rack(V4)=1,Shelf(V4)=3,Board(V4)=10,CPU(V4)=1",Controller ManagedElement(V4)/H(e)NB GW,NCP link failure,"Alarm Object:NODEB;  NodeB ID:1258;  Alarm sub code:2;  Iub Transport bearer type:IP V4 Bearer Type;  Link Number:1;  Link ID list:1258; Logic Position:System No.:0,Module No.:10,Index:0;",No,,NODEB,"SubNetwork=4,MEID=4,URncFunction=4,UIubLink=1258",CDR,1258,1258,VfallSprayview-MN0101-U,Unacknowledged,UMTS Controller Alarm(V4)(20426),Equipment Malfunction(315),UMTS,5864117,VfallSprayview-MN0101-U(1258),,,Site ID(Office) : 1258; Site Name(Office) : VfallSprayview-MN0101-U; Alarm Object Type : NODEB; Alarm Object ID : 1258; Alarm Object Name : VfallSprayview-MN0101-U; Board Type : CDR; ,,,,,,,Normal,,,,,,1.5859E+12,129.0.1.1,,"Harare V4 RNC,TELCEL HAR V4 RNC(4)",Harare V4 RNC,,,,,12/14/2020 15:12,12/14/2020 15:15
GokweCBD-MD6014-G,12/13/2020 17:02,Link between OMM and NE broken(198099803),12/14/2020 15:19,22:17:18,Critical,GokweCBD-MD6014-G(15),Communications Alarm,,,ME(MO SDR),,"G BSCId: 1; IP: 118.18.126.1, OMC channel is abnormal; G siteId:15",No,,SDR,"SubNetwork=1,MEID=15",,15,15,GokweCBD-MD6014-G,Unacknowledged,Wireless Public Alarm(20402),Connection establishment error(566),GSM,0,,,,Site ID(Office) : 15; Site Name(Office) : GokweCBD-MD6014-G; Alarm Object Type : SDR; Alarm Object ID : 15; Alarm Object Name : GokweCBD-MD6014-G; Board Type : ; ,,,,,,,Normal,,,,,,1.5859E+12,118.18.126.1,,"SDRMGR_V3 OMMB Gweru(BSC),Subnet(MO SDR)(1)",SDRMGR_V3 OMMB Gweru(BSC),,,,,12/13/2020 17:00,12/14/2020 15:17
Ngondoma-MD5230-G,12/13/2020 17:06,Link between OMM and NE broken(198099803),12/14/2020 15:19,22:12:53,Critical,Ngondoma-MD5230-G(230),Communications Alarm,,,ME(MO SDR),,"G BSCId: 1; IP: 118.18.86.1, OMC channel is abnormal; G siteId:230",No,,SDR,"SubNetwork=1,MEID=230",,230,230,Ngondoma-MD5230-G,Unacknowledged,Wireless Public Alarm(20402),Connection establishment error(566),GSM,0,,,,Site ID(Office) : 230; Site Name(Office) : Ngondoma-MD5230-G; Alarm Object Type : SDR; Alarm Object ID : 230; Alarm Object Name : Ngondoma-MD5230-G; Board Type : ; ,,,,,,,Normal,,,,,,1.5859E+12,118.18.86.1,,"SDRMGR_V3 OMMB Gweru(BSC),Subnet(MO SDR)(1)",SDRMGR_V3 OMMB Gweru(BSC),,,,,12/13/2020 17:04,12/14/2020 15:17
Mapfumo-MD5231-G,12/13/2020 17:02,Link between OMM and NE broken(198099803),12/14/2020 15:19,22:17:03,Critical,Mapfumo-MD5231-G(231),Communications Alarm,,,ME(MO SDR),,"G BSCId: 1; IP: 118.18.93.1, OMC channel is abnormal; G siteId:231",No,,SDR,"SubNetwork=1,MEID=231",,231,231,Mapfumo-MD5231-G,Unacknowledged,Wireless Public Alarm(20402),Connection establishment error(566),GSM,0,,,,Site ID(Office) : 231; Site Name(Office) : Mapfumo-MD5231-G; Alarm Object Type : SDR; Alarm Object ID : 231; Alarm Object Name : Mapfumo-MD5231-G; Board Type : ; ,,,,,,,Normal,,,,,,1.5859E+12,118.18.93.1,,"SDRMGR_V3 OMMB Gweru(BSC),Subnet(MO SDR)(1)",SDRMGR_V3 OMMB Gweru(BSC),,,,,12/13/2020 17:00,12/14/2020 15:17
Mapfungautse-MD6015-G,12/13/2020 17:02,Link between OMM and NE broken(198099803),12/14/2020 15:19,22:17:13,Critical,Mapfungautse-MD6015-G(801),Communications Alarm,,,ME(MO SDR),,"G BSCId: 1; IP: 118.18.113.1, OMC channel is abnormal; G siteId:801",No,,SDR,"SubNetwork=1,MEID=801",,801,801,Mapfungautse-MD6015-G,Unacknowledged,Wireless Public Alarm(20402),Connection establishment error(566),GSM,0,,,,Site ID(Office) : 801; Site Name(Office) : Mapfungautse-MD6015-G; Alarm Object Type : SDR; Alarm Object ID : 801; Alarm Object Name : Mapfungautse-MD6015-G; Board Type : ; ,,,,,,,Normal,,,,,,1.5859E+12,118.18.113.1,,"SDRMGR_V3 OMMB Gweru(BSC),Subnet(MO SDR)(1)",SDRMGR_V3 OMMB Gweru(BSC),,,,,12/13/2020 17:00,12/14/2020 15:17
Morganster-MV7050-U,12/14/2020 15:15,Cell is out of service(199083022),12/14/2020 15:18,0:02:20,Critical,Harare V4 RNC(4),Processing Error Alarm,,"Global(V4)=1,Rack(V4)=1,Shelf(V4)=1,Board(V4)=2,CPU(V4)=1",Controller ManagedElement(V4)/H(e)NB GW,The Node B responds with a cell establishment failure message.,"Alarm Object:CELL;  NodeB ID:1272;  Cell ID:12723;  Alarm sub code:18;  Cell support MBMS or not:Cell does not support MBMS;  Slave No.:2;  User plane resource Unit ID:30;  the Module No. of the board:1;  Unit No. of the board:2;  Processor No. of the board:1;  Subsystem No. of the board:1;  Iub protocol error cause type:4;  Iub protocol error cause code:4;  Reserved:48/48/56/53/51; Logic Position:System No.:0,Module No.:9,Index:0;",No,,CELL,"SubNetwork=4,MEID=4,URncFunction=4,UUtranCellFDD=12723",CDR,12723,1272,Morganster-MV7050-U-3,Unacknowledged,UMTS Controller Alarm(V4)(20426),Equipment Malfunction(315),UMTS,5864094,Morganster-MV7050-U(1272),,,Site ID(Office) : 1272; Site Name(Office) : Morganster-MV7050-U; Alarm Object Type : CELL; Alarm Object ID : 12723; Alarm Object Name : Morganster-MV7050-U-3; Board Type : CDR; ,,,,,,,Normal,,,,,,1.5859E+12,129.0.1.1,,"Harare V4 RNC,TELCEL HAR V4 RNC(4)",Harare V4 RNC,,,,,12/14/2020 15:10,12/14/2020 15:12
Morganster-MV7050-U,12/14/2020 15:15,Cell is out of service(199083022),12/14/2020 15:18,0:02:20,Critical,Harare V4 RNC(4),Processing Error Alarm,,"Global(V4)=1,Rack(V4)=1,Shelf(V4)=1,Board(V4)=2,CPU(V4)=1",Controller ManagedElement(V4)/H(e)NB GW,The Node B responds with a cell establishment failure message.,"Alarm Object:CELL;  NodeB ID:1272;  Cell ID:12722;  Alarm sub code:18;  Cell support MBMS or not:Cell does not support MBMS;  Slave No.:2;  User plane resource Unit ID:11;  the Module No. of the board:1;  Unit No. of the board:2;  Processor No. of the board:1;  Subsystem No. of the board:1;  Iub protocol error cause type:4;  Iub protocol error cause code:4;  Reserved:48/48/56/53/51; Logic Position:System No.:0,Module No.:9,Index:0;",No,,CELL,"SubNetwork=4,MEID=4,URncFunction=4,UUtranCellFDD=12722",CDR,12722,1272,Morganster-MV7050-U-2,Unacknowledged,UMTS Controller Alarm(V4)(20426),Equipment Malfunction(315),UMTS,5864093,Morganster-MV7050-U(1272),,,Site ID(Office) : 1272; Site Name(Office) : Morganster-MV7050-U; Alarm Object Type : CELL; Alarm Object ID : 12722; Alarm Object Name : Morganster-MV7050-U-2; Board Type : CDR; ,,,,,,,Normal,,,,,,1.5859E+12,129.0.1.1,,"Harare V4 RNC,TELCEL HAR V4 RNC(4)",Harare V4 RNC,,,,,12/14/2020 15:10,12/14/2020 15:12
ColeenBawn-MS0308-G,12/14/2020 15:15,Link between OMM and NE broken(198099803),12/14/2020 15:16,0:01:45,Critical,ColeenBawn-MS0308-G(721),Communications Alarm,,,ME(MO SDR),,"G BSCId: 1; IP: 118.18.131.1, OMC channel is abnormal; G siteId:721",No,,SDR,"SubNetwork=1,MEID=721",,721,721,ColeenBawn-MS0308-G,Unacknowledged,Wireless Public Alarm(20402),Connection establishment error(566),GSM,0,,,,Site ID(Office) : 721; Site Name(Office) : ColeenBawn-MS0308-G; Alarm Object Type : SDR; Alarm Object ID : 721; Alarm Object Name : ColeenBawn-MS0308-G; Board Type : ; ,,,,,,,Normal,,,,,,1.5859E+12,118.18.131.1,,"SDRMGR_V3 OMMB Gweru(BSC),Subnet(MO SDR)(1)",SDRMGR_V3 OMMB Gweru(BSC),,,,,12/14/2020 15:13,12/14/2020 15:15
WestNicholson-MS0326-G,12/14/2020 15:15,Link between OMM and NE broken(198099803),12/14/2020 15:16,0:01:55,Critical,WestNicholson-MS0326-G(759),Communications Alarm,,,ME(MO SDR),,"G BSCId: 1; IP: 118.18.171.1, OMC channel is abnormal; G siteId:759",No,,SDR,"SubNetwork=1,MEID=759",,759,759,WestNicholson-MS0326-G,Unacknowledged,Wireless Public Alarm(20402),Connection establishment error(566),GSM,0,,,,Site ID(Office) : 759; Site Name(Office) : WestNicholson-MS0326-G; Alarm Object Type : SDR; Alarm Object ID : 759; Alarm Object Name : WestNicholson-MS0326-G; Board Type : ; ,,,,,,,Normal,,,,,,1.5859E+12,118.18.171.1,,"SDRMGR_V3 OMMB Gweru(BSC),Subnet(MO SDR)(1)",SDRMGR_V3 OMMB Gweru(BSC),,,,,12/14/2020 15:13,12/14/2020 15:15
